INDEX,EN
Team_Name_Repair,MR HANDY
Team_Name_Patrol,PROTECTRON
Team_Name_Explosive,ASSAULTRON
Levels_Name_100001,Infrastructure
Levels_Name_40001,MINUTEMEN OUTPOST
Levels_Name_40002,BROTHERHOOD OF STEEL OUTPOST
Levels_Name_40003,THE RAILROAD HEADQUARTERS
Levels_Name_40004,THE INSTITUTE
Levels_Name_50001,DIAMOND CITY TRADEPOST
Levels_Name_50002,OASIS
Levels_Name_2010100,Sanctuary Hills
Levels_Desc_2010100,"Once a peaceful town before the war and despite its proximity to the Vault, most of the Dwellers here did not make it."
Levels_Name_2010300,THE RED ROCKET TRUCK STOP
Levels_Desc_2010300,The Red Rocket stands behind the tall wild grass. The occasional dog barks are the only audible sounds. Well-preserved components can still be found in the ruins of the Truck Stop.
Levels_Name_5010100,THE MUSEUM OF FREEDOM
Levels_Desc_5010100,The Museum of Freedom exhibits military relics of a dead nation. One forgotten with anything that had taken place on the Wasteland.
Levels_Name_5010200,CONCORD WORKHOUSE
Levels_Desc_5010200,"This workhouse, though having survived the atomic destruction, is now infested with monsters of the Commonwealth Wasteland. It is a dangerous destination for adventurers."
Levels_Name_5010300,THE STARLIGHT DRIVE-IN
Levels_Name_5010500,CONCORD CIVIC ACCESS
Levels_Desc_5010500,"A Deathclaw once built its nest here, but there is only mud, monsters, and buried treasures remaining."
Levels_Name_5010600,RANGER CABIN
Levels_Desc_5010600,This cabin stands alone in the wilderness. That is why there is barely any loot or supplies here.
Levels_Name_5010700,CONCORD CHURCH
Levels_Desc_5010700,"Maybe, the corpses in this church should thank God for letting nuclear fire and radiation exempt them from more worldly pain."
Levels_Name_5010800,DRUMLIN DINER
Levels_Desc_5010800,"Before the Great War, travelers heading from Concord to Lexington would take rest at this stop. As they still do."
Levels_Name_5010900,CONCORD SUBURBS
Levels_Desc_5010900,"The buildings in the Concord Suburbs seem more ruined than the ones in town, you can see tracks of Raiders and irradiated monsters everywhere."
Levels_Name_3010100,USAF SATELLITE STATION
Levels_Desc_3010100,The USAF Satellite Station was used for receiving messages from military satellites. The computers and apparatus are all useless now.
Levels_Name_3010200,THICKET EXCAVATIONS 'ZONE AREA'
Levels_Desc_3010200,"Thicket Excavations was an important construction material supply center for the Commonwealth, but the terrain transformation caused by the nuclear detonation has drowned it in water."
Levels_Name_3010300,ROBOT MAINTENANCE PLANT
Levels_Desc_3010300,"Since all the technicians were killed by the atomic bombs, these military robots blindly attack any traveler that passes by following their electronic logic."
Levels_Name_3010400,EASTERN CONCORD WILDERNESS
Levels_Desc_3010400,"Just like many wildernesses in the Wasteland, it has no name but it does have abundant scars left by nuclear explosions."
Levels_Name_6010100,SUNSHINE TIDINGS CO-OP
Levels_Desc_6010100,"Feral Ghouls have taken up residence in this village. Once you get rid of these Ghouls, the village and its surrounding land can be put to use again."
Levels_Name_6010200,THE LONE CHURCH
Levels_Desc_6010200,"This church sits alone in the wilderness, south of Walden Pond. It can be turned into a reliable outpost with a few minor modifications."
Levels_Name_6010300,WALDEN POND
Levels_Desc_6010300,"Due to the lack of maintenance, Walden Pond is full of mud, overgrown weeds, and dangerous creatures."
Levels_Name_4010100,TENPINES BLUFF
Levels_Desc_4010100,"On the barren lands of Bedford, the villagers here are constantly threatened by crop failure and Feral Ghouls."
Levels_Name_4010200,BEDFORD STATION
Levels_Desc_4010200,"Once an important junction in of the northern Commonwealth, it is now a dangerous wilderness."
Levels_Name_4010400,WILDWOOD CEMETERY
Levels_Desc_4010400,"This cemetery was a ghost town before the Great War. But its new residents, Feral Ghouls, have made this place much livelier after the war."
Levels_Name_8010100,SUPER DUPER MART
Levels_Name_8010200,LEXINGTON APARTMENTS
Levels_Desc_8010200,"These apartments were homes to people from all walks of life, now only monsters of various sorts."
Levels_Name_8010300,CORVEGA ASSEMBLY PLANT
Levels_Desc_8010300,"After the nuclear Armageddon, this giant automobile assembly plant has seen several groups of Dwellers... none of them lasted long."
Levels_Name_8010400,CAMBRIDGE HIGHWAY
Levels_Desc_8010400,"This highway used to criss cross the Commonwealth. But it has been cut into several sections by nuclear detonations, some of which are now monsters' lairs."
Levels_Name_7010100,GRAYGARDEN HOMESTEAD
Levels_Desc_7010100,"This was the first homestead in the Commonwealth to be fully looked after by robots. Even after the war, they still act dutifully as gardeners."
Levels_Name_7010200,ARCJET SYSTEMS
Levels_Desc_7010200,"This site was a pre-war rocket engine factory. Now there are only broken rockets remaining, symbolizing the broken dreams of humanity."
Levels_Name_7010400,FEDERAL RATION STOCKPILE
Levels_Desc_7010400,"Whether it is pre-war or post war, there was never enough food here to support a large group. That is why it is only a Raiders' lair now."
Levels_Name_16010100,COLLEGE SQUARE
Levels_Desc_16010100,Only God knows why Feral Ghouls picked this place as their lair. The north path to Diamond City has been much more dangerous because of that.
Levels_Name_16010200,KENDALL HOSPITAL
Levels_Desc_16010200,"Although the building standards of this hospital were enough to withstand the nuclear blast, all the patients were still killed by radiation."
Levels_Name_16010300,C.I.T. RUINS
Levels_Desc_16010300,"Knowledge has not made the Super Mutants more sane, but they now know to put a period at the end when they bark their orders."
Levels_Name_16010400,CAMBRIDGE POLYMER LABS
Levels_Desc_16010400,"Hordes of dangerous monsters have infested the Polymer Labs, so much so that not even the Brotherhood of Steel dares to retrieve pre-war technology from there."
Levels_Name_16010500,COLLEGE SQUARE STATION
Levels_Desc_16010500,The Commonwealth Wasteland is dotted with subway stations like this. Most of them have become lairs of monsters or Raiders.
Levels_Name_17010100,OBERLAND STATION
Levels_Desc_17010100,Few people traverse this monster and Raider infested region save for a few caravans headed to the Vaults.
Levels_Name_17010200,VAULT 81
Levels_Desc_17010200,"Knowing the truth of this Vault, the Overseer terminated the experiment, allowing the Vault to remain intact till this day."
Levels_Name_17010500,FENS STREET SEWER
Levels_Desc_17010500,"This was the slaughterhouse of some pre-war psycho killer. After the war, the 'Danger' sign here still serves its purpose."
Levels_Name_21010200,BOSTON PUBLIC LIBRARY
Levels_Desc_21010200,"The books in the public library can be very useful to aid the reconstruction of the Wasteland, but the security robots are not easy to deal with."
Levels_Name_21010300,POLICE PRECINCT 8
Levels_Desc_21010300,Loads of pre-war documents are kept in this police office. No one takes any interest in them except maybe detectives from Diamond City.
Levels_Name_21010400,BACK STREET APPAREL
Levels_Desc_21010400,The ruins of Back Street Apparel have become the hideout of a group of Raiders. Quite an ironic development to the gentlemen that used to tailor their suits here.
Levels_Name_21010600,HARDWARE TOWN
Levels_Desc_21010600,"There are a lot of paint and building materials in the remains of this hardware store, but neither the Raiders nor the monsters have much interest in it."
Levels_Name_22010100,VAULT 114
Levels_Desc_22010100,"This Vault was taken over by a group of Raiders, some records show that a social science experiment project was performed here."
Levels_Name_22010200,PARK STREET STATION
Levels_Desc_22010200,"This Subway Station is the best place for many mutants to hide themselves, some even nest here."
Levels_Name_22010300,TRINITY TOWER
Levels_Desc_22010300,A group of Super Mutants have been occupying Trinity Tower for a long time. Rumor is they lure and abduct human travelers...
Levels_Name_22010400,MASS BAY MEDICAL CENTER
Levels_Desc_22010400,"Some of the medical facilities and materials are still in good condition in the Medical Center, this could be the reason why Gunners broke in and took this place."
Levels_Name_22010500,MEDICAL CENTER STATION
Levels_Desc_22010500,"The Medical Center is currently under Raiders' control, they have made good use of the environment as an underground outpost."
Levels_Name_22010600,HUBRIS COMICS
Levels_Desc_22010600,This once was a very popular comic book shop. The only loyal customers it has now are mutant insects that come by and they just eat the books.
Levels_Name_23010100,MASS FUSION BUILDING
Levels_Desc_23010100,There are many robotic guardians and Synths in this place. They protect this place so no one can step foot in it.
Levels_Name_23010200,THE BOSTON BUGLE BUILDING
Levels_Desc_23010200,"The truth matters no more, because robotic guardians care nothing of it, only invaders can draw their attention."
Levels_Name_23010300,PICKMAN GALLERY
Levels_Desc_23010300,"Take a look over here! This is an art exhibition. However, the price of admission is your life."
Levels_Name_23010400,VAULT-TEC OFFICE
Levels_Desc_23010400,"All of the Vault's technology and concepts could be found here years ago, but now, all that remains are mutant creatures."
Levels_Name_23010500,OLD CORNER BOOKSTORE
Levels_Desc_23010500,"Robotic guardians patrol of this area. No one knows what their target is, but one thing you can be sure of is that they will fire on sight"
Levels_Name_23010700,BOSTON PORT
Levels_Desc_23010700,"Few come to sightsee in this ruined port, only Raiders use it to rest themselves."
Levels_Name_15010100,GREENETECH GENETICS
Levels_Desc_15010100,"Greenetech Genetics is occupied by a group of Gunners. They don't allow anyone to pass through, so no one knows what they are plotting."
Levels_Name_15010200,BADTFL REGIONAL OFFICE
Levels_Desc_15010200,"A Synth who escaped from the Institute secretly built an outpost here, planning to use it as a bridgehead in the fight against The Institute."
Levels_Name_15010300,MONSIGNOR PLAZA
Levels_Desc_15010300,Anyone dumb enough to try and approach Monsignor Plaza will notice that a group of Super Mutants have made this their home.
Levels_Name_15010400,CAMBRIDGE CRATER
Levels_Desc_15010400,These ruins created by the war many years ago are used by Synths. They made it an effective thoroughfare to escape the Institute.
Levels_Name_18010100,FORT HAGEN
Levels_Desc_18010100,"This place was a secret military base, but now it is a good hideout for all kinds of people."
Levels_Name_18010200,FORT HAGEN SATELLITE ARRAY
Levels_Desc_18010200,"It has become another abandoned place, but the weak radio wave around the signal tower has attracted some Synths."
Levels_Name_18010300,WESTON WATER TREATMENT PLANT
Levels_Desc_18010300,"It's uncertain if this place still can still treat wastewater, but gunners are definitely making use of this place to cover their dastardly deeds."
Levels_Name_18010400,BOSTON MAYORAL SHELTER
Levels_Desc_18010400,The mayor could never have imagined the Vault he built for his family would eventually be a hideout for thugs.
Levels_Name_18010500,FOREST GROVE MARSH
Levels_Desc_18010500,"If you are brave enough to want to find out what's inside the Forest Grove Marsh, you are going to have to face irradiated water and a few Synths."
Levels_Name_14010100,REVERE STATION
Levels_Desc_14010100,This place is a favorite of the Super Mutants because of its location so they can easily ambush any sorry sap that passes by.
Levels_Name_14010200,REEB MARINA
Levels_Desc_14010200,Reeb Marina nowadays has but a handful of visitors. This gives Raiders a reason to make camp here.
Levels_Name_14010300,GUARD TRAINING YARD
Levels_Desc_14010300,Super Mutants don't understand what a training yard is or what it would be used for. All they need is a place to attack people.
Levels_Name_9010100,PRIDE INDUSTRIES SHIPYARD
Levels_Desc_9010100,No one is building ships in this shipyard any longer. It's just a breeding ground for Mirelurks.
Levels_Name_9010200,TARK MEMORIAL BRIDGE
Levels_Desc_9010200,Attention! Raiders control this bridge. Anyone who wants to pass through must pay a price!
Levels_Name_9010300,TAFFINGTON BOATHOUSE
Levels_Desc_9010300,The current owner of the boathouse is a Yao Guai! This is not a joke! Anyone who takes it as a joke will end up inside the Yao Guai's belly.
Levels_Name_10010100,METRIFORD MEMORIAL HOSPITAL
Levels_Desc_10010100,"Super mutants look for humans, humans look for a hospital. Makes sense why there are Super Mutants around this place."
Levels_Name_10010200,MALDEN CENTER
Levels_Desc_10010200,This is one huge subway station. Don't be surprised by what you may find inside. Even a few Synths that escaped from the Institute.
Levels_Name_10010300,VAULT 75
Levels_Desc_10010300,"Before it opened, no one knew about the Gunners. It is believed this is where Gunners originated."
Levels_Name_11010100,GENERAL ATOMICS GALLERIA
Levels_Desc_11010100,"People used to buy things here long ago. Now the only things left to buy are bricks, if anyone is still interested."
Levels_Name_11010200,SKYLANES AIR
Levels_Desc_11010200,The ruins here tell an old story of how humanity made it to the sky and fell to the ground.
Levels_Name_13010100,SAUGUS IRONWORKS
Levels_Desc_13010100,Careful! There is a Raider gang in here called 'The Forged.'
Levels_Name_13010200,BREAKHEART BANKS
Levels_Desc_13010200,Why was it called Breakheart Banks? Does it have a heartbreaking past? Nobody knows.
Levels_Name_12010100,LYNN WOODS
Levels_Desc_12010100,"Used to be a municipal forest park, now a hideout for Raiders."
Levels_Name_12010200,PARSONS CREAMERY
Levels_Desc_12010200,"Although it no longer produces dairy products, Raiders are still fond of this place."
Levels_Name_12010300,MAHKRA FISHPACKING
Levels_Desc_12010300,"In the past, machines packed fish here, not its full of Mirelurks. Needless to say they are not for sale."
Levels_Name_12010400,COASTAL COTTAGE
Levels_Desc_12010400,A quiet and lonely cottage that resides by the coast as it awaits to be refurbished.
Levels_Name_12010500,PARSONS STATE INSANE ASYLUM
Levels_Desc_12010500,"This place is either without psychopaths or full of them, no one can be sure..."
Levels_Name_5011000,AIRCRAFT WRECKAGE
Levels_Desc_5011000,This was the site of an aircraft accident. Now nothing more than a place with debris.
Levels_Name_16010600,CAMBRIDGE RUINS
Levels_Desc_16010600,These ruins show people that humanity is more adept at destruction than they are at building.
Levels_Name_25010100,MUSEUM OF WITCHCRAFT
Levels_Desc_25010100,"Despite the name it bears, you won't find anything that resembles witchcraft here."
Levels_Name_25010200,DUNWICH BORERS LLC
Levels_Desc_25010200,"This plant is fully abandoned, only monsters waiting for their victims here."
Levels_Name_25010300,SALEM
Levels_Desc_25010300,It's been many years since the catastrophe and yet this place never looked better.
Levels_Name_25010400,CRATER HOUSE
Levels_Desc_25010400,This huge crater witnessed the great catastrophe many many years ago.
Levels_Name_25010500,PACKING HOUSE
