INDEX,EN
Default,????
CommonText_OK,OK
CommonText_Tip,WARNING
CommonText_Cancel,CANCEL
CommonText_Back,BACK
CommonText_Close,CLOSE
CommonText_Month,M{sp}
CommonText_Day,D{sp}
CommonText_Minute,m{sp}
CommonText_MinuteF,m{sp}
CommonText_Second,s{sp}
CommonText_Hour,h{sp}
CommonText_HourF,h{sp}
CommonText_10X3,K{sp}
CommonText_10X6,M{sp}
CommonText_UnClock,LOCKED
CommonText_Get,CLAIM
CommonText_Reach,Achieve
CommonText_GoTo,GO TO
CommonText_ImmediatelyTo,GO IMMEDIATELY
CommonText_Commit,Give
CommonText_Finished,FINISHED!
CommonText_ATTR_S,S
CommonText_ATTR_P,P
CommonText_ATTR_E,E
CommonText_ATTR_C,C
CommonText_ATTR_I,I
CommonText_ATTR_A,A
CommonText_ATTR_L,L
CommonText_Max,MAX
CommonText_HeroLevelWithMax1,LV {0}/{1}
CommonText_HeroLevelWithMax2,{0}/{1}
CommonText_HeroLevel1,Lv.{0}
CommonText_HeroLevel2,{0}
CommonText_Number,x{0}
CommonText_Lv,Lv.{0}
CommonText_Time_MS,{0}{1}:{2}{3}
CommonText_Time_HMS,{0}{1}:{2}{3}:{4}{5}
CommonText_Tips,TIPS
CommonText_None,NONE
CommonText_Percent,%
CommonText_RedColor,<color=#FF0000FF>{0}</color>
CommonText_Lv_ForConCat,Level{sp}
CommonText_ID,ID:{sp}
CommonText_Bias,/
CommonText_Xcharacter,X
CommonText_Newline,\n
CommonText_January,JANUARY
CommonText_February,FEBRUARY
CommonText_March,MARCH
CommonText_April,APRIL
CommonText_May,MAY
CommonText_June,JUNE
CommonText_July,JULY
CommonText_August,AUGUST
CommonText_September,SEPTEMBER
CommonText_October,OCTOBER
CommonText_November,NOVEMBER
CommonText_December,DECEMBER
CommonText_Ratio,{0}/{1}
CommonText_Dot,.
CommonText_NotEnoughMoney,Insufficient {0}
CommonText_NotEnoughItem,Insufficient Items
CommonText_MaxStar,MAX
CommonText_CanBreak,Ready to Promote
CommonText_ButtonMax,MAX
CommonText_AddCount,+{0}
CommonText_TodayNoTip,No More Tooltips
CommonText_Monday,Monday
CommonText_Tuesday,Tuesday
CommonText_Wednesday,Wednesday
CommonText_Thursday,Thursday
CommonText_Friday,Friday
CommonText_Saturday,Saturday
CommonText_Sunday,Sunday
CommonText_AlreadyReceived,CLAIMED
CommonText_Quality_White,White
CommonText_Quality_Green,Green
CommonText_Quality_Blue,Blue
CommonText_Quality_Purple,Purple
CommonText_Quality_Orange,Orange
CommonText_LevelForConcat,Lv
CommonText_Times,Times
CommonText_TenThousand,"0,000"
CommonText_Billion,"00,000,000"
CommonText_Reward,Reward{0}
Message_RoomDropClock,"<color=#00FF41FF>""Found a clock. Time limit extended.""</color>"
Onlockmessage_1,Required to Unlock: Vault Level <color=#f82b15>{0}</color>
Onlockmessage_2,Required to Unlock: Complete <color=#2b669d>{0}</color> Quest <color=#f82b15>{1}</color>
Onlockmessage_3,Required to Unlock: Build and/ or Upgrade <color=#f82b15>{0}</color>
Onlockmessage_4,Required to Unlock: Have <color=#f82b15>{0}</color> Quests
OnClickSuperVisor,You Can't Allocate the Overseer
OnExitGameApp,Are you sure you want to quit?
SavePictureSuccess,Picture Saved
PanelUniWebView_BackGame,BACK
LogUpload_NoSuchFile,Log file does not exist
LogUpload_EmptyFile,Log file is empty
LogUpload_OK,Successfully uploaded
LogUpload_BadNetWork,"Failed to upload, network error"
